station,lat,lon
Star Lane DLR,51.5211364,0.0045441
Stepney Green,51.5218653,-0.0466321
Stockwell,51.4717205,-0.1233143
Stoke Newington,51.5652239,-0.0727999
Stonebridge Park,51.5441815,-0.2741894
Stratford,51.5416543,-0.004785
Stratford High Street,51.5376469,-0.0001288
Stratford International,51.5454521,-0.0065939
Sudbury Hill,51.5574723,-0.335511
Sudbury Town,51.5496508,-0.3171144
Surrey Quays,51.49276,-0.047763
Swiss Cottage,51.5424201,-0.1751727
Taplow,51.4887234,-0.0868922
Temple,51.5110603,-0.1137618
Tooting Bec,51.4358076,-0.1591729
Tooting Broadway,51.427566,-0.1679587
Tottenham Court Road,51.5166718,-0.1281211
Tottenham Hale,51.5884964,-0.0602518
Totteridge & Whetstone,51.63006,-0.1767584
Tower Gateway,51.5104613,-0.0750486
Tower Hill,51.5098481,-0.0766986
Tufnell Park,51.5568846,-0.1373772
Turkey Street,51.672488,-0.047099
Turnham Green,51.4953269,-0.2549777
Turnpike Lane,51.5897111,-0.1024927
Twyford,51.5352719,-0.27305
Upminster,51.5585367,0.2540286
Upminster Bridge,51.5582655,0.2347689
Upney,51.538266,0.099626
Upper Holloway,51.5639755,-0.1294059
Upton Park,51.5353409,0.0352396
Uxbridge,51.5461974,-0.4786267
Vauxhall,51.485663,-0.1248249
Victoria,51.4950525,-0.1448455
W Silvertown,51.5027729,0.0240193
Walthamstow Central,51.5829022,-0.0213976
Walthamstow Queens Road,51.5788571,-0.0223923
Wandsworth Road,51.4709435,-0.1375629
Wanstead,51.5753425,0.0271887
Wanstead Park,51.5511477,0.0252786
Wapping,51.5040112,-0.0566767
Warren Street,51.5240842,-0.1376199
Warwick Avenue,51.5233436,-0.1838506
Waterloo,51.5029658,-0.1156915
Watford Junction,51.6893596,-0.419174
Wembley Central,51.5513971,-0.297969
Wembley Park,51.5634786,-0.2796983
West Acton,51.5179412,-0.2809616
West Brompton,51.4872484,-0.195522
West Croydon,51.3784565,-0.1026293
West Drayton,51.5100977,-0.4721923
West Ealing,51.5136461,-0.3209377
West Finchley,51.6094637,-0.1884316
West Ham,51.5277892,0.0046239
West Hampstead,51.5467503,-0.1907661
West Hampstead LO,51.5509898,-0.1917279
West Harrow,51.5795991,-0.3531364
West India Quay,51.5067417,-0.0204833
West Kensington,51.4908716,-0.2059575
West Ruislip,51.5695695,-0.4382647
Westbourne Park,51.5209715,-0.2008201
Westferry,51.5086688,-0.0267807
Westminster,51.5013562,-0.1249302
White City,51.5115381,-0.2246052
White Hart Lane,51.6051183,-0.0681903
Whitechapel,51.5196834,-0.0603423
Willesden Green,51.5491613,-0.221219
Willesden Junction,51.5328549,-0.240132
Wimbledon,51.4202156,-0.2065393
Wimbledon Park,51.4345256,-0.199519
Wood Green,51.5971721,-0.109085
Wood Lane,51.5101068,-0.2237557
Wood Street,51.5867017,-0.0017652
Woodford,51.6081955,0.0362557
Woodgrange Park,51.5491867,0.0436429
Woodside Park,51.6178525,-0.1851785
Woolwich Arsenal DLR,51.4901052,0.0695827
Woolwich Arsenal NR,51.4956062,0.0708298
